edu,weight,coding,indg,total,totalindg,indgratio,edu2,indg2
3,2707.08455,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
1,3019.31166,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
3,152.67899,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,3245.77304,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1828.08176,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,3139.96465,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,612.08056,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1904.66191,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,1377.27226,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
1,666.84848,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
1,1141.01344,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
2,3217.47297,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
1,4208.10243,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
3,3120.03072,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2158.49395,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,724.23886,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,10576.83497,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,3624.50497,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
